object_id|Item Type Metadata|MMS ID
identifier|Item Type Metadata|Plaatskenmerk
identifier|Dublin Core|Identifier
title|Dublin Core|Title
alternative_title|Dublin Core|Alternative Title
creator|Dublin Core|Creator
contributor|Dublin Core|Contributor
date|Dublin Core|Date
source|Dublin Core|Source
language|Dublin Core|Language
description|Dublin Core|Description
period|Dublin Core|Period
place|Dublin Core|Coverage
publisher|Dublin Core|Publisher
LIMO|Item Type Metadata|LIMO
pid|Item Type Metadata|Rosetta ID
external manuscript|Item Type Metadata|External manuscript
external manuscript txt|Item Type Metadata|External manuscript txt
hasVersion|Dublin Core|Has Version
physical copy filter|Item Type Metadata|Physical copy filter
